                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57582,                0.51453,                 1.0215,                0.88517,                0.76136,                0.83613,                0.63653,                0.87607,                0.75337,                 1.2389,             0.00025005,             0.00025005,             0.00025005
                      2,                0.55762,                0.49218,                 1.0206,                0.84827,                0.75702,                0.81611,                0.60968,                0.91302,                  0.825,                 1.2893,             0.00051165,             0.00051165,             0.00051165
                      3,                0.62674,                0.56085,                 1.0445,                 0.8867,                  0.751,                0.80601,                0.60542,                0.91318,                0.81819,                 1.3253,             0.00076798,             0.00076798,             0.00076798
                      4,                0.66049,                0.58831,                 1.0753,                0.85781,                0.73704,                0.81344,                0.59188,                0.99675,                0.92734,                  1.311,               0.001019,               0.001019,               0.001019
                      5,                0.65527,                0.58716,                 1.0643,                0.82642,                0.71082,                0.78528,                 0.5536,                 1.1252,                 1.0859,                 1.4932,              0.0012648,              0.0012648,              0.0012648
                      6,                0.66768,                0.59418,                 1.0588,                0.82409,                0.76437,                0.79782,                0.55803,                 1.0874,                0.95612,                 1.4153,              0.0015053,              0.0015053,              0.0015053
                      7,                0.69888,                0.62657,                 1.0939,                0.79327,                0.70812,                0.77565,                0.54197,                  1.113,                0.91736,                 1.4668,               0.001568,               0.001568,               0.001568
                      8,                0.72671,                0.66229,                 1.1023,                0.76584,                0.71002,                0.75631,                0.52049,                 1.1361,                 1.1652,                 1.4527,              0.0015515,              0.0015515,              0.0015515
                      9,                0.73467,                0.65428,                 1.1051,                0.73722,                0.69279,                0.69575,                0.47816,                  1.194,                 1.2795,                 1.5327,               0.001535,               0.001535,               0.001535
                     10,                0.69283,                0.61157,                 1.0888,                0.82165,                0.68019,                0.75068,                0.52901,                 1.0595,                 1.0307,                 1.4721,              0.0015185,              0.0015185,              0.0015185
                     11,                0.72017,                 0.6364,                 1.1182,                0.74706,                0.75107,                0.76151,                0.49797,                 1.2229,                 1.1641,                 1.6586,               0.001502,               0.001502,               0.001502
                     12,                0.71934,                0.64181,                 1.1058,                 0.8662,                0.70523,                0.77869,                 0.4924,                 1.1919,                 1.1056,                 1.5992,              0.0014855,              0.0014855,              0.0014855
