image_path,box,cleaned_text
IMG_2180.mov,0,78
IMG_2180.mov,352,116
IMG_2180.mov,0,83
IMG_2180.mov,347,119
IMG_2180.mov,0,83
IMG_2180.mov,0,84
IMG_2180.mov,0,81
IMG_2180.mov,0,85
IMG_2180.mov,322,120
IMG_2180.mov,317,120
IMG_2180.mov,312,119
IMG_2180.mov,307,119
IMG_2180.mov,302,121
IMG_2180.mov,296,121
IMG_2180.mov,289,121
IMG_2180.mov,283,122
IMG_2180.mov,278,122
IMG_2180.mov,270,121
IMG_2180.mov,265,123
IMG_2180.mov,261,123
IMG_2180.mov,233,120
IMG_2180.mov,252,123
IMG_2180.mov,248,124
IMG_2180.mov,242,125
IMG_2180.mov,235,126
IMG_2180.mov,230,126
IMG_2180.mov,221,128
IMG_2180.mov,216,128
IMG_2180.mov,212,129
IMG_2180.mov,207,129
IMG_2180.mov,198,129
IMG_2180.mov,622,81
IMG_2180.mov,192,129
IMG_2180.mov,609,81
IMG_2180.mov,187,129
IMG_2180.mov,626,81
IMG_2180.mov,180,128
IMG_2180.mov,621,84
IMG_2180.mov,173,128
IMG_2180.mov,525,96
IMG_2180.mov,167,126
IMG_2180.mov,524,101
IMG_2180.mov,158,127
IMG_2180.mov,506,95
IMG_2180.mov,151,127
IMG_2180.mov,497,91
IMG_2180.mov,146,127
IMG_2180.mov,565,83
IMG_2180.mov,136,127
IMG_2180.mov,491,90
IMG_2180.mov,130,127
IMG_2180.mov,558,106
IMG_2180.mov,122,126
IMG_2180.mov,554,107
IMG_2180.mov,116,127
IMG_2180.mov,544,103
IMG_2180.mov,108,128
IMG_2180.mov,534,103
IMG_2180.mov,525,92
IMG_2180.mov,90,128
IMG_2180.mov,97,129
IMG_2180.mov,520,98
IMG_2180.mov,515,123
IMG_2180.mov,89,129
IMG_2180.mov,507,125
IMG_2180.mov,84,131
IMG_2180.mov,74,132
IMG_2180.mov,494,121
IMG_2180.mov,72,135
IMG_2180.mov,490,120
IMG_2180.mov,485,125
IMG_2180.mov,62,132
IMG_2180.mov,477,124
IMG_2180.mov,51,132
IMG_2180.mov,470,123
IMG_2180.mov,46,134
IMG_2180.mov,40,133
IMG_2180.mov,464,121
IMG_2180.mov,35,130
IMG_2180.mov,465,118
IMG_2180.mov,30,134
IMG_2180.mov,461,120
IMG_2180.mov,20,136
IMG_2180.mov,458,123
IMG_2180.mov,16,138
IMG_2180.mov,456,123
IMG_2180.mov,9,136
IMG_2180.mov,454,122
IMG_2180.mov,2,139
IMG_2180.mov,449,123
IMG_2180.mov,1,138
IMG_2180.mov,445,122
IMG_2180.mov,1,140
IMG_2180.mov,440,123
IMG_2180.mov,0,141
IMG_2180.mov,441,121
IMG_2180.mov,435,124
IMG_2180.mov,1,139
IMG_2180.mov,2,139
IMG_2180.mov,435,125
IMG_2180.mov,428,122
IMG_2180.mov,1,138
IMG_2180.mov,1,137
IMG_2180.mov,426,121
IMG_2180.mov,421,122
IMG_2180.mov,0,134
IMG_2180.mov,0,126
IMG_2180.mov,419,121
IMG_2180.mov,0,130
IMG_2180.mov,416,122
IMG_2180.mov,0,128
IMG_2180.mov,409,120
IMG_2180.mov,407,120
IMG_2180.mov,0,125
IMG_2180.mov,404,120
IMG_2180.mov,0,127
IMG_2180.mov,402,120
IMG_2180.mov,0,125
IMG_2180.mov,397,122
IMG_2180.mov,0,123
IMG_2180.mov,392,121
IMG_2180.mov,0,121
IMG_2180.mov,386,121
IMG_2180.mov,378,121
IMG_2180.mov,375,122
IMG_2180.mov,0,118
IMG_2180.mov,366,118
IMG_2180.mov,0,113
IMG_2180.mov,365,120
IMG_2180.mov,356,124
IMG_2180.mov,353,123
IMG_2180.mov,347,124
IMG_2180.mov,340,118
IMG_2180.mov,333,107
IMG_2180.mov,326,119
IMG_2180.mov,319,123
IMG_2180.mov,315,124
IMG_2180.mov,309,124
IMG_2180.mov,302,125
IMG_2180.mov,297,124
IMG_2180.mov,291,121
IMG_2180.mov,283,124
IMG_2180.mov,276,125
IMG_2180.mov,273,125
IMG_2180.mov,267,126
IMG_2180.mov,261,123
IMG_2180.mov,254,124
IMG_2180.mov,250,123
IMG_2180.mov,242,120
IMG_2180.mov,232,118
IMG_2180.mov,228,98
IMG_2180.mov,220,112
IMG_2180.mov,214,111
IMG_2180.mov,206,109
IMG_2180.mov,197,90
IMG_2180.mov,189,107
IMG_2180.mov,183,111
IMG_2180.mov,176,108
IMG_2180.mov,167,110
IMG_2180.mov,0,110
IMG_2180.mov,152,110
IMG_2180.mov,9,106
IMG_2180.mov,149,107
IMG_2180.mov,146,108
IMG_2180.mov,139,107
IMG_2180.mov,134,105
IMG_2180.mov,127,106
IMG_2180.mov,115,107
IMG_2180.mov,108,107
IMG_2180.mov,106,106
IMG_2180.mov,100,107
IMG_2180.mov,96,104
IMG_2180.mov,89,103
IMG_2180.mov,72,104
IMG_2180.mov,67,104
IMG_2180.mov,64,105
IMG_2180.mov,60,100
IMG_2180.mov,55,105
IMG_2180.mov,46,106
IMG_2180.mov,42,102
IMG_2180.mov,33,103
IMG_2180.mov,21,103
IMG_2180.mov,9,101
IMG_2180.mov,8,103
IMG_2180.mov,3,99
IMG_2180.mov,0,101
IMG_2180.mov,0,97
IMG_2180.mov,0,87
IMG_2180.mov,0,82
IMG_2180.mov,0,84
IMG_2180.mov,0,84
IMG_2180.mov,0,81
IMG_2180.mov,1,78
IMG_2180.mov,1,61
IMG_2180.mov,1,61
IMG_2180.mov,1,54
IMG_2180.mov,0,66
IMG_2180.mov,0,62
IMG_2180.mov,0,45
IMG_2180.mov,0,48
IMG_2180.mov,0,54
IMG_2180.mov,0,41
IMG_2180.mov,0,55
IMG_2180.mov,0,73
