                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63716,                0.55171,                 1.0568,                  0.869,                0.71375,                 0.8073,                0.58633,                 0.9991,                0.86141,                 1.3305,              0.0011059,              0.0011059,              0.0011059
                     36,                0.63618,                0.57713,                 1.0562,                0.80456,                0.75995,                0.82222,                0.60484,                 1.0004,                0.82431,                 1.3615,              0.0010894,              0.0010894,              0.0010894
                     37,                0.64402,                0.55262,                 1.0515,                0.78915,                0.74956,                0.79937,                0.59818,                0.97623,                0.85171,                 1.4036,              0.0010729,              0.0010729,              0.0010729
                     38,                0.60899,                0.53019,                 1.0366,                0.86252,                0.68017,                0.79123,                0.58537,                0.99721,                 0.8832,                 1.3955,              0.0010564,              0.0010564,              0.0010564
                     39,                0.60128,                0.49899,                 1.0433,                0.83795,                0.72832,                0.79861,                0.57156,                 1.0727,                0.93799,                  1.423,              0.0010399,              0.0010399,              0.0010399
                     40,                0.58411,                0.50214,                  1.022,                0.80203,                  0.765,                0.81386,                0.60133,                0.99229,                0.81522,                 1.3909,              0.0010234,              0.0010234,              0.0010234
                     41,                0.59712,                0.50393,                 1.0339,                0.91251,                0.70004,                0.80476,                0.58325,                 1.0322,                0.90153,                 1.3775,              0.0010069,              0.0010069,              0.0010069
                     42,                0.60208,                 0.5131,                  1.032,                0.81194,                0.73617,                0.80144,                0.59622,                0.97497,                0.88992,                  1.302,             0.00099036,             0.00099036,             0.00099036
                     43,                0.59333,                0.48043,                 1.0241,                0.84395,                 0.7301,                0.80357,                0.60284,                 0.9908,                0.90501,                 1.3501,             0.00097386,             0.00097386,             0.00097386
                     44,                0.60169,                 0.5165,                 1.0397,                0.84803,                0.73907,                0.80957,                0.58651,                 1.0335,                 0.9384,                  1.371,             0.00095736,             0.00095736,             0.00095736
                     45,                0.63299,                0.51245,                 1.0461,                0.84603,                0.72998,                0.81104,                0.58761,                   1.01,                0.87374,                 1.3837,             0.00094085,             0.00094085,             0.00094085
                     46,                0.60513,                0.51739,                 1.0232,                 0.8341,                0.77924,                0.80535,                0.56969,                 1.0287,                0.83066,                 1.3877,             0.00092435,             0.00092435,             0.00092435
                     47,                0.58728,                0.49886,                 1.0214,                  0.879,                0.74209,                0.80836,                0.57635,                0.99797,                0.80681,                 1.3916,             0.00090785,             0.00090785,             0.00090785
                     48,                0.58126,                0.47581,                 1.0201,                0.82508,                0.80146,                0.81265,                0.58169,                0.98366,                0.84673,                 1.3543,             0.00089134,             0.00089134,             0.00089134
                     49,                0.60252,                  0.504,                 1.0328,                0.87886,                0.73507,                0.80843,                0.57901,                0.98796,                0.85161,                 1.3674,             0.00087484,             0.00087484,             0.00087484
                     50,                0.59132,                0.50008,                 1.0202,                0.88706,                0.74129,                0.82423,                0.60284,                 1.0115,                 0.8061,                  1.383,             0.00085834,             0.00085834,             0.00085834
                     51,                0.56901,                0.49029,                 1.0133,                0.85829,                0.74697,                0.81153,                0.59231,                 1.0305,                0.89569,                  1.389,             0.00084184,             0.00084184,             0.00084184
                     52,                0.55935,                0.46713,                  1.008,                0.86553,                0.74443,                0.81009,                0.58765,                0.97581,                0.88453,                 1.3357,             0.00082533,             0.00082533,             0.00082533
                     53,                0.55759,                0.47626,                 1.0157,                 0.8433,                0.74805,                0.81367,                0.60354,                0.92495,                0.82689,                 1.3038,             0.00080883,             0.00080883,             0.00080883
                     54,                0.54356,                0.45699,                 1.0117,                0.83823,                0.78021,                 0.8281,                0.61147,                0.97352,                0.83144,                  1.365,             0.00079233,             0.00079233,             0.00079233
                     55,                0.56613,                0.46915,                 1.0258,                0.86884,                0.77281,                0.82551,                0.60751,                0.96496,                0.78424,                 1.3574,             0.00077582,             0.00077582,             0.00077582
                     56,                0.54501,                0.44979,                0.99379,                0.89788,                0.72143,                0.82498,                0.61849,                0.98102,                0.77522,                 1.3275,             0.00075932,             0.00075932,             0.00075932
                     57,                0.54922,                0.43962,                 1.0024,                0.82873,                0.79797,                0.82796,                0.61463,                0.97726,                0.76752,                 1.3098,             0.00074282,             0.00074282,             0.00074282
                     58,                0.53738,                 0.4451,                0.99138,                0.86858,                0.75249,                0.81501,                0.60661,                0.93445,                0.74558,                 1.2977,             0.00072631,             0.00072631,             0.00072631
                     59,                0.51551,                0.43818,                0.98629,                0.83751,                0.78992,                0.81202,                0.59634,                0.92328,                0.75876,                 1.2892,             0.00070981,             0.00070981,             0.00070981
                     60,                0.52512,                0.44208,                0.98835,                0.89829,                 0.7162,                0.82705,                0.61702,                0.91051,                0.77092,                 1.2598,             0.00069331,             0.00069331,             0.00069331
                     61,                0.53733,                0.43796,                  1.012,                0.80989,                0.78083,                0.82791,                0.60909,                0.96274,                0.81263,                 1.3101,              0.0006768,              0.0006768,              0.0006768
                     62,                0.53862,                0.42615,                0.99232,                0.88143,                0.72717,                0.81057,                0.60463,                0.93072,                0.83386,                 1.2847,              0.0006603,              0.0006603,              0.0006603
                     63,                0.54179,                0.44631,                0.99594,                0.86957,                 0.7188,                0.80635,                0.60404,                0.94422,                0.86121,                 1.2915,              0.0006438,              0.0006438,              0.0006438
                     64,                0.53925,                0.42982,                 0.9972,                0.85129,                0.74801,                0.81475,                0.61563,                  0.892,                0.78021,                 1.3005,             0.00062729,             0.00062729,             0.00062729
                     65,                 0.4976,                0.42054,                 0.9829,                0.85996,                0.76741,                0.83109,                0.62968,                0.88437,                0.79366,                 1.3025,             0.00061079,             0.00061079,             0.00061079
                     66,                0.50918,                0.41083,                0.99228,                 0.8707,                 0.7659,                0.82966,                0.62874,                0.90912,                0.83724,                 1.3392,             0.00059429,             0.00059429,             0.00059429
                     67,                0.50394,                0.42538,                0.98333,                0.88199,                0.77376,                0.82549,                0.62092,                0.94129,                0.80219,                 1.3579,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.5073,                0.42234,                0.97459,                0.89905,                0.74876,                0.82505,                0.60849,                0.93791,                0.80547,                 1.3384,             0.00056128,             0.00056128,             0.00056128
                     69,                0.49805,                0.41937,                0.97948,                0.89966,                0.74911,                0.82612,                0.61484,                0.90562,                0.78435,                 1.3155,             0.00054478,             0.00054478,             0.00054478
                     70,                0.51861,                0.42697,                0.99505,                 0.8473,                0.78386,                0.82686,                 0.6102,                 0.9292,                0.79803,                 1.3217,             0.00052827,             0.00052827,             0.00052827
                     71,                0.49944,                0.41286,                 0.9838,                0.87284,                0.77923,                0.83366,                0.61964,                0.90642,                0.79206,                 1.3035,             0.00051177,             0.00051177,             0.00051177
